"Id";"Esfera";"Municipio";"Estado";"Nome";"Sigla";"Url Curta";"Gestão"
"uncme-541";"municipal";"Governador Jorge Teixeira";"RO";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GOVERNADOR JORGE TEIXEIRA - RO";"CME-GOVERNADOR-JORGE-TEIXEIRA-RO";"governadorjorgeteixeira-ro";"PRESIDENTE: MARIA GLORIA ARAUJO DE MEDEIROS "
"uncme-542";"municipal";"Governador Valadares";"MG";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GOVERNADOR VALADARES - MG";"CME-GOVERNADOR-VALADARES-MG";"governadorvaladares-mg";"PRESIDENTE: MARIA DAS MERCÊS MEIRA DE ALVARENGA"
"uncme-543";"municipal";"Gracho Cardoso";"SE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GRACHO CARDOSO - SE";"CME-GRACHO-CARDOSO-SE";"grachocardoso-se";"PRESIDENTE: JOSÉ AILTON DE ARAGÃO"
"uncme-544";"municipal";"Gramado";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GRAMADO - RS";"CME-GRAMADO-RS";"gramado-rs";"PRESIDENTE: MARINA BAZEI"
"uncme-545";"municipal";"Gramado Xavier";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GRAMADO XAVIER - RS";"CME-GRAMADO-XAVIER-RS";"gramadoxavier-rs";"PRESIDENTE: DAIANI NICOLODI BRUM DA MOTTA"
"uncme-546";"municipal";"Granja";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GRANJA - CE";"CME-GRANJA-CE";"granja-ce";"PRESIDENTE: CLAUDIA REGINA FERREIRA DE ARAÚJO"
"uncme-547";"municipal";"Granjeiro";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GRANJEIRO - CE";"CME-GRANJEIRO-CE";"granjeiro-ce";"PRESIDENTE: ANA VIEIRA FERREIRA"
"uncme-548";"municipal";"Gravataí";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GRAVATAÍ - RS";"CME-GRAVATAÍ-RS";"gravatai-rs";"PRESIDENTE: SILVANA TERESINHA SILVEIRA"
"uncme-549";"municipal";"Groaíras";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GROAÍRAS - CE";"CME-GROAÍRAS-CE";"groairas-ce";"PRESIDENTE: MANOEL XIMENES AZEVEDO NETO"
"uncme-550";"municipal";"Guabiju";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUABIJU - RS";"CME-GUABIJU-RS";"guabiju-rs";"PRESIDENTE: CASSIANE GOTARDO"
"uncme-551";"municipal";"Guadalupe";"PI";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE GUADALUPE - PI";"CME-GUADALUPE-PI";"guadalupe-pi";"PRESIDENTE: CARMEM RODRIGUES DE FREITAS"
